obtuvo_credito,numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str
true,1,112,0,7,26,false,false,false,false,false,false,false,Secundaria completa,Hombre,AMAZONAS,Selva,Secano,Otro,Sin ventas,Secano
true,2,4.4,99.18,40,48,false,false,true,false,false,false,false,Secundaria completa,Hombre,AMAZONAS,Selva,No especificado,Venta,Comerciante mayorista,No especificado
true,6,13.1,100,15,38,false,false,true,true,false,false,false,Secundaria completa,Hombre,ANCASH,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,4,16.8,98.86,30,51,false,false,false,false,false,false,false,Secundaria completa,Hombre,ANCASH,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,4,4.17,88.01,15,40,false,false,true,false,false,false,false,Primaria incompleta,Hombre,APURIMAC,Sierra,Aspersion,Venta,Acopiador,Aspersion
true,10,4.06,78.86,25,44,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,APURIMAC,Sierra,Gravedad,Venta,Consumidor final,Gravedad
true,11,1.93,5.65,25,52,false,false,false,false,false,false,false,Primaria incompleta,Mujer,APURIMAC,Sierra,Aspersion,Autoconsumo,Consumidor final,Aspersion
true,4,0.77,80,30,54,false,false,false,false,false,false,false,Primaria incompleta,Hombre,APURIMAC,Sierra,Otro,Venta,Consumidor final,Otro
true,4,3.8,40.43,19,39,false,false,false,false,false,false,false,Superior no universitaria completa,Hombre,APURIMAC,Sierra,Goteo,Autoconsumo,Consumidor final,Goteo
true,1,0.8,0,3,26,false,false,false,false,false,false,false,Secundaria incompleta,Mujer,AREQUIPA,Sierra,No especificado,Otro,Sin ventas,No especificado
true,3,5.61,100,30,72,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,AREQUIPA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,2,1.32,100,2,35,false,false,true,true,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,1,5.5,99.33,20,50,false,false,true,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Goteo,Venta,Comerciante mayorista,Goteo
true,1,5.5,100,20,58,false,false,false,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Goteo,Venta,Consumidor final,Goteo
true,5,25,100,6,35,false,false,false,false,false,false,true,Secundaria completa,Hombre,AREQUIPA,Costa,Goteo,Venta,Comerciante mayorista,Goteo
true,2,21,100,12,44,false,false,false,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,7,4.07,95.35,40,68,false,true,true,false,false,false,true,Secundaria completa,Hombre,AYACUCHO,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,5,4.64,90.76,15,48,false,false,true,false,false,false,false,Superior universitaria completa,Mujer,AYACUCHO,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad
true,5,15,93.14,15,36,false,true,true,false,false,false,false,Secundaria completa,Hombre,AYACUCHO,Sierra,Aspersion,Venta,Comerciante mayorista,Aspersion
false,1,5,99.67,12,33,false,false,true,false,false,false,false,Secundaria completa,Hombre,CAJAMARCA,Selva,Gravedad,Venta,Acopiador,Gravedad
true,2,2.6,50.82,20,42,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,CAJAMARCA,Selva,Secano,Venta,Comerciante mayorista,Secano
false,2,90,0,25,49,false,true,false,false,false,false,false,Primaria completa,Hombre,CAJAMARCA,Selva,Secano,Otro,Sin ventas,Secano
true,1,2.5,47.06,40,75,false,false,true,false,false,false,false,Primaria incompleta,Hombre,CAJAMARCA,Sierra,Secano,Venta,Acopiador,Secano
true,2,0.85,83.48,20,41,false,false,true,false,false,false,false,Secundaria completa,Hombre,CAJAMARCA,Selva,Secano,Venta,Comerciante minorista,Secano
false,1,6,91.05,23,42,false,false,true,false,false,false,false,Secundaria completa,Hombre,CAJAMARCA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,7,1.49,15,20,45,false,false,true,false,false,false,false,Secundaria completa,Hombre,CUSCO,Sierra,Secano,Autoconsumo,Acopiador,Secano
true,5,1.56,80.83,12,34,false,false,true,false,false,false,false,Superior universitaria incompleta,Hombre,CUSCO,Sierra,Gravedad,Venta,Consumidor final,Gravedad
true,9,0.68,30.77,34,50,false,false,false,false,false,false,false,Primaria incompleta,Mujer,CUSCO,Sierra,Aspersion,Autoconsumo,Consumidor final,Aspersion
true,18,4.26,0,42,62,false,false,true,false,false,false,false,Superior universitaria incompleta,Hombre,CUSCO,Sierra,Gravedad,Otro,Sin ventas,Gravedad
true,10,8.09,35.09,39,62,false,false,true,false,false,false,false,Primaria incompleta,Hombre,CUSCO,Sierra,Secano,Autoconsumo,Comerciante minorista,Secano
true,8,2.34,12.25,30,53,false,false,false,false,false,true,false,Secundaria incompleta,Hombre,HUANCAVELICA,Sierra,Secano,Autoconsumo,Acopiador,Secano
true,3,23.5,99.14,14,41,false,false,false,false,false,false,false,Superior no universitaria completa,Hombre,HUANUCO,Selva,Secano,Venta,Comerciante mayorista,Secano
true,1,2.45,98.53,30,45,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,HUANUCO,Selva,Secano,Venta,Acopiador,Secano
false,2,7.25,0,20,45,false,false,true,false,false,false,false,Primaria incompleta,Hombre,HUANUCO,Sierra,Gravedad,Autoconsumo,Sin ventas,Gravedad
false,3,1.99,83.18,24,43,false,false,true,false,false,false,false,Primaria completa,Hombre,HUANUCO,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,4,4.41,88.29,18,46,false,false,true,false,false,false,false,Primaria incompleta,Hombre,HUANUCO,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,3,7.74,100,11,49,false,false,true,false,false,false,false,Secundaria completa,Hombre,ICA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,2,12.25,99.68,33,53,false,false,true,false,false,false,true,Secundaria completa,Mujer,JUNIN,Sierra,Secano,Venta,Acopiador,Secano
true,2,65,86.7,28,61,false,true,true,false,false,false,true,Secundaria completa,Mujer,JUNIN,Selva,Gravedad,Venta,Comerciante minorista,Gravedad
true,4,16,98.92,23,62,false,false,true,false,false,false,false,Secundaria completa,Hombre,JUNIN,Selva,Secano,Venta,Comerciante mayorista,Secano
true,8,1.15,83.22,12,36,false,false,false,false,false,false,false,Secundaria completa,Hombre,JUNIN,Sierra,Secano,Venta,Comerciante minorista,Secano
true,9,1.36,92.96,21,42,false,false,true,false,false,false,false,Secundaria completa,Hombre,JUNIN,Sierra,Aspersion,Venta,Comerciante minorista,Aspersion
true,3,13.6,100,25,53,false,false,true,false,false,false,false,Primaria incompleta,Hombre,JUNIN,Selva,Secano,Venta,Acopiador,Secano
true,2,3.5,95.7,2,30,false,false,false,false,false,false,false,Secundaria incompleta,Hombre,JUNIN,Selva,Secano,Venta,Comerciante minorista,Secano
true,1,15,100,50,65,false,false,false,false,false,false,false,Primaria completa,Mujer,JUNIN,Selva,Secano,Venta,Acopiador,Secano
true,4,12.61,100,14,40,false,true,true,false,false,false,false,Primaria incompleta,Mujer,LA LIBERTAD,Costa,Gravedad,Venta,Comerciante minorista,Gravedad
true,3,12.74,97.91,20,43,false,false,true,false,false,false,false,Secundaria completa,Hombre,LA LIBERTAD,Costa,Gravedad,Venta,Acopiador,Gravedad
true,1,2.5,7.42,25,51,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,LA LIBERTAD,Costa,Gravedad,Autoconsumo,Comerciante mayorista,Gravedad
true,1,9,95.02,50,71,false,false,true,false,false,false,false,Secundaria completa,Mujer,LAMBAYEQUE,Costa,Gravedad,Venta,Comerciante minorista,Gravedad
true,1,11,100,30,58,false,false,true,false,false,false,false,Superior universitaria completa,Hombre,LIMA,Costa,Goteo,Venta,Comerciante mayorista,Goteo
true,10,1.41,78.95,23,41,false,false,true,false,false,false,false,Superior no universitaria completa,Mujer,MOQUEGUA,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,1,364.6,0,15,39,false,false,true,false,false,false,false,Superior universitaria completa,Hombre,PASCO,Selva,No especificado,Autoconsumo,Sin ventas,No especificado
true,4,8.5,0,13,30,false,true,true,false,false,false,false,Superior universitaria completa,Hombre,PASCO,Sierra,Secano,Otro,Sin ventas,Secano
true,2,12,0,6,45,false,false,false,false,false,false,true,Superior no universitaria completa,Hombre,PIURA,Costa,Secano,Otro,Sin ventas,Secano
true,1,12,100,40,83,false,false,true,false,false,true,false,Primaria incompleta,Hombre,PIURA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,2,13,66.86,38,60,false,false,true,false,false,false,false,Primaria incompleta,Hombre,PIURA,Sierra,No especificado,Venta,Comerciante minorista,No especificado
true,1,0.5,87.84,5,66,false,false,true,false,false,false,false,Primaria incompleta,Hombre,PIURA,Costa,Gravedad,Venta,Comerciante minorista,Gravedad
true,2,4,87.18,22,69,false,false,false,false,false,false,false,Primaria incompleta,Hombre,PIURA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,4,9.9,4.35,35,60,false,false,true,false,false,false,false,Primaria completa,Mujer,PUNO,Sierra,Secano,Autoconsumo,Consumidor final,Secano
true,4,12.5,60,30,50,false,false,true,false,false,false,false,Secundaria completa,Hombre,PUNO,Sierra,Secano,Venta,Comerciante minorista,Secano
true,1,3.5,89.71,37,55,false,false,true,false,false,false,false,Primaria completa,Hombre,SAN MARTIN,Selva,Secano,Venta,Comerciante minorista,Secano
true,1,1.6,0,15,51,false,false,true,false,false,false,false,Superior universitaria completa,Hombre,SAN MARTIN,Selva,Secano,Autoconsumo,Sin ventas,Secano
true,1,2.3,75,35,53,false,false,false,false,false,false,false,Primaria incompleta,Hombre,SAN MARTIN,Selva,Secano,Venta,Acopiador,Secano
true,1,23,100,33,60,false,false,false,true,false,false,false,Primaria completa,Hombre,SAN MARTIN,Selva,Secano,Venta,Acopiador,Secano
true,2,14.94,60.61,35,57,false,true,true,false,false,false,false,Secundaria completa,Hombre,SAN MARTIN,Selva,Secano,Venta,Acopiador,Secano
true,3,9.5,91.47,23,41,false,false,true,false,false,false,false,Primaria completa,Hombre,SAN MARTIN,Selva,No especificado,Venta,Comerciante mayorista,No especificado
true,1,0.08,0,28,48,false,false,false,false,false,false,true,Superior universitaria completa,Hombre,TACNA,Costa,Otro,Autoconsumo,Sin ventas,Otro
false,1,5,99.01,13,60,false,true,true,false,false,false,true,Secundaria incompleta,Hombre,TACNA,Costa,Gravedad,Venta,Acopiador,Gravedad
false,1,5.5,98.12,12,56,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,TACNA,Costa,Gravedad,Venta,Comerciante minorista,Gravedad
true,2,4.5,96.57,13,33,false,false,true,false,false,false,false,Superior no universitaria completa,Mujer,TACNA,Costa,Goteo,Venta,Comerciante mayorista,Goteo
true,1,3,0,8,36,false,false,true,false,false,false,false,Secundaria incompleta,Mujer,TACNA,Costa,Goteo,Otro,Sin ventas,Goteo
true,1,3.9,100,13,61,false,false,true,false,false,false,false,Primaria completa,Hombre,TUMBES,Costa,Gravedad,Venta,Acopiador,Gravedad
false,1,3.02,99.73,15,40,false,false,false,false,false,false,false,Secundaria completa,Hombre,TUMBES,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,1,120,0,15,46,false,false,true,false,false,false,false,Primaria completa,Hombre,UCAYALI,Selva,Secano,Otro,Sin ventas,Secano
true,1,90,99.33,15,53,false,false,true,false,false,false,true,Secundaria completa,Hombre,UCAYALI,Selva,Secano,Venta,Consumidor final,Secano
true,2,19.05,99.69,17,47,false,true,true,false,false,false,false,Primaria completa,Hombre,UCAYALI,Selva,Mangas,Venta,Comerciante mayorista,Mangas
true,2,57.7,100,20,57,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,UCAYALI,Selva,Secano,Venta,Empresa/Agroindustria,Secano
true,1,109,100,9,44,false,false,true,false,false,false,false,Sin nivel,Hombre,UCAYALI,Selva,Secano,Venta,Acopiador,Secano
true,2,3.5,90.03,13,45,false,true,true,false,true,false,true,Secundaria incompleta,Hombre,AMAZONAS,Selva,Secano,Venta,Comerciante minorista,Secano
true,1,2.5,91.98,26,45,false,false,false,false,false,false,false,Primaria completa,Hombre,AMAZONAS,Selva,Secano,Venta,Acopiador,Secano
true,5,3.37,97.83,25,46,false,false,true,false,false,false,false,Secundaria completa,Hombre,APURIMAC,Sierra,No especificado,Venta,Comerciante minorista,No especificado
false,5,0.58,14.29,22,42,false,false,false,false,false,false,false,Secundaria completa,Hombre,APURIMAC,Sierra,Aspersion,Autoconsumo,Comerciante minorista,Aspersion
true,2,0.95,0,2,29,false,false,false,false,false,false,false,Superior universitaria incompleta,Hombre,APURIMAC,Sierra,Aspersion,Otro,Sin ventas,Aspersion
true,1,3.3,100,24,58,false,false,true,false,false,false,true,Secundaria incompleta,Mujer,AREQUIPA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,2,7.5,100,10,33,false,false,true,false,false,false,false,Superior universitaria completa,Hombre,AREQUIPA,Costa,Goteo,Venta,Acopiador,Goteo
true,4,30.5,0,15,47,false,true,true,false,false,false,false,Superior universitaria completa,Hombre,AREQUIPA,Costa,Gravedad,Autoconsumo,Sin ventas,Gravedad
true,1,3.3,99.71,15,55,false,false,true,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,1,1.5,99.32,2,41,false,false,true,false,false,false,true,Superior universitaria completa,Hombre,AYACUCHO,Selva,Secano,Venta,Acopiador,Secano
true,2,0.8,0,5,29,false,false,false,false,false,false,false,Secundaria completa,Mujer,AYACUCHO,Sierra,Secano,Otro,Sin ventas,Secano
true,2,0.79,0,20,40,false,false,true,false,false,false,false,Primaria incompleta,Mujer,AYACUCHO,Sierra,Aspersion,Autoconsumo,Sin ventas,Aspersion
true,7,4.13,87.72,14,33,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,AYACUCHO,Sierra,Aspersion,Venta,Comerciante minorista,Aspersion
true,3,8.5,93.1,30,58,false,false,true,false,false,false,false,Primaria incompleta,Hombre,CAJAMARCA,Sierra,Secano,Venta,Consumidor final,Secano
true,3,3.28,92.24,18,49,false,false,true,false,false,false,false,Superior no universitaria completa,Hombre,CAJAMARCA,Sierra,Gravedad,Venta,Consumidor final,Gravedad
true,4,1.7,98.21,5,31,false,false,false,false,false,true,false,Secundaria completa,Hombre,HUANCAVELICA,Sierra,Aspersion,Venta,Acopiador,Aspersion
true,3,10,99.39,31,56,false,false,false,false,false,false,false,Primaria incompleta,Hombre,HUANUCO,Selva,Secano,Venta,Comerciante mayorista,Secano
true,1,260,81.48,23,39,false,false,true,false,false,false,false,Secundaria completa,Hombre,HUANUCO,Selva,Secano,Venta,Acopiador,Secano
true,1,120,0,16,36,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,HUANUCO,Selva,Secano,Autoconsumo,Sin ventas,Secano
true,2,29,97.16,30,52,false,false,true,false,false,false,false,Sin nivel,Hombre,HUANUCO,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad
true,1,3,95.24,20,72,false,true,false,false,false,false,false,Primaria incompleta,Hombre,ICA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,3,25,84,33,53,false,false,true,false,false,false,false,Primaria incompleta,Mujer,JUNIN,Selva,Gravedad,Venta,Acopiador,Gravedad
true,2,0.57,68.75,40,55,false,false,true,false,false,false,false,Secundaria completa,Mujer,JUNIN,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,2,11.4,80,40,63,false,false,true,false,false,false,false,Primaria completa,Hombre,LA LIBERTAD,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,1,0.7,0,27,48,false,false,true,false,false,false,false,Primaria completa,Mujer,LAMBAYEQUE,Costa,Gravedad,Otro,Sin ventas,Gravedad
true,1,8,98.1,25,59,false,false,true,false,false,false,false,Superior no universitaria completa,Hombre,LAMBAYEQUE,Costa,Gravedad,Venta,Empresa/Agroindustria,Gravedad
true,2,8.2,94.32,25,60,false,false,true,false,false,false,false,Superior no universitaria completa,Hombre,LAMBAYEQUE,Costa,Gravedad,Venta,Acopiador,Gravedad
true,2,1.5,23.74,20,38,false,false,false,false,false,false,false,Superior no universitaria completa,Hombre,LIMA,Costa,Gravedad,Autoconsumo,Acopiador,Gravedad
true,2,7.08,99.88,18,57,false,false,true,false,false,false,false,Superior no universitaria completa,Mujer,LIMA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,1,2.5,100,40,72,false,false,true,false,false,false,false,Primaria completa,Hombre,LIMA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
false,3,3,99.06,15,56,false,false,true,false,false,false,false,Secundaria completa,Hombre,LIMA,Sierra,Goteo,Venta,Comerciante mayorista,Goteo
false,10,23.52,0,30,55,false,false,true,false,false,false,false,Superior universitaria completa,Hombre,LIMA,Sierra,Aspersion,Otro,Sin ventas,Aspersion
false,2,12,89.78,25,67,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,LORETO,Selva,Secano,Venta,Comerciante minorista,Secano
true,1,7,0,12,46,false,false,true,false,false,false,false,Primaria completa,Mujer,LORETO,Selva,Secano,Autoconsumo,Sin ventas,Secano
true,3,91,99.24,6,64,false,true,false,false,false,false,true,Secundaria completa,Hombre,MADRE DE DIOS,Selva,Secano,Venta,Acopiador,Secano
true,2,3.6,0,4,47,false,false,false,false,false,false,false,Superior universitaria completa,Mujer,MADRE DE DIOS,Selva,Secano,Autoconsumo,Sin ventas,Secano
true,5,1.65,52.08,12,48,false,false,false,false,false,false,false,Secundaria completa,Hombre,MOQUEGUA,Sierra,Gravedad,Venta,Consumidor final,Gravedad
true,1,3.38,0,20,60,false,true,true,false,false,false,false,Superior no universitaria completa,Hombre,MOQUEGUA,Costa,Gravedad,Otro,Sin ventas,Gravedad
true,4,2.3,86.21,30,45,false,false,true,false,false,false,false,Primaria completa,Hombre,PASCO,Sierra,Secano,Venta,Acopiador,Secano
true,2,109,29.69,33,52,false,false,true,false,false,false,false,Secundaria completa,Hombre,PASCO,Selva,Secano,Autoconsumo,Acopiador,Secano
true,2,5.38,91.95,20,46,false,false,true,true,false,false,false,Secundaria incompleta,Hombre,PIURA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,1,1,99.3,8,57,false,false,true,false,false,false,false,Superior no universitaria completa,Hombre,PIURA,Costa,Gravedad,Venta,Empresa/Agroindustria,Gravedad
true,2,1,97.22,33,79,false,false,false,false,false,false,false,Primaria completa,Hombre,PIURA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,3,3.48,89.29,40,59,false,false,true,false,false,false,false,Primaria incompleta,Hombre,PIURA,Costa,Gravedad,Venta,Comerciante minorista,Gravedad
true,2,42.67,0,35,68,false,false,true,false,false,false,false,Secundaria completa,Hombre,PUNO,Sierra,Secano,Otro,Sin ventas,Secano
true,4,15.17,0,21,37,false,true,true,false,false,false,false,Secundaria incompleta,Mujer,PUNO,Sierra,Secano,Autoconsumo,Sin ventas,Secano
true,3,10.3,0,24,45,false,false,true,false,false,false,false,Superior no universitaria completa,Hombre,PUNO,Sierra,Gravedad,Otro,Sin ventas,Gravedad
true,5,8.2,20,10,43,false,false,true,false,false,false,false,Secundaria completa,Hombre,PUNO,Sierra,Secano,Autoconsumo,Comerciante minorista,Secano
true,1,4,100,30,50,false,false,true,true,false,false,false,Primaria incompleta,Hombre,SAN MARTIN,Selva,Secano,Venta,Comerciante mayorista,Secano
true,1,7.5,98.82,20,44,false,false,true,false,false,false,false,Primaria completa,Hombre,SAN MARTIN,Selva,Secano,Venta,Comerciante mayorista,Secano
true,2,3.6,73.62,40,69,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,SAN MARTIN,Selva,Gravedad,Venta,Acopiador,Gravedad
true,1,1,74.77,12,31,false,false,true,false,false,false,false,Superior no universitaria completa,Mujer,SAN MARTIN,Selva,Secano,Venta,Acopiador,Secano
true,1,23.6,98.93,58,75,false,false,true,false,false,false,true,Primaria incompleta,Hombre,SAN MARTIN,Selva,Secano,Venta,Acopiador,Secano
true,6,4.6,0,25,63,false,true,true,false,false,false,false,Primaria completa,Hombre,TACNA,Costa,Otro,Autoconsumo,Sin ventas,Otro
false,1,3.7,35.9,22,62,false,false,true,false,false,false,false,Superior no universitaria completa,Hombre,TACNA,Costa,Otro,Autoconsumo,Consumidor final,Otro
true,1,5,98.32,13,61,false,true,true,false,false,false,false,Primaria incompleta,Mujer,TACNA,Costa,Goteo,Venta,Comerciante minorista,Goteo
true,2,4.06,0,48,70,false,false,true,false,false,false,false,Superior no universitaria incompleta,Mujer,TACNA,Costa,Goteo,Autoconsumo,Sin ventas,Goteo
true,3,17.95,99.64,12,44,false,false,true,false,false,false,false,Superior universitaria completa,Mujer,TACNA,Costa,Goteo,Venta,Acopiador,Goteo
true,4,12.3,100,20,46,false,false,true,false,false,false,false,Superior universitaria completa,Hombre,TUMBES,Costa,Gravedad,Venta,Acopiador,Gravedad
true,1,4.4,100,26,64,false,false,true,true,false,false,false,Superior universitaria completa,Hombre,TUMBES,Costa,Gravedad,Venta,Acopiador,Gravedad
true,1,0.6,88.89,20,53,false,false,false,false,false,false,false,Secundaria completa,Hombre,TUMBES,Costa,Gravedad,Venta,Comerciante minorista,Gravedad
true,2,20,100,10,44,false,false,true,false,false,false,true,Superior universitaria completa,Mujer,UCAYALI,Selva,Secano,Venta,Comerciante mayorista,Secano
true,2,35,0,7,40,false,false,true,false,false,false,false,Superior no universitaria completa,Hombre,UCAYALI,Selva,Secano,Otro,Sin ventas,Secano
true,2,16.25,92.28,13,62,false,false,false,false,false,false,true,Primaria completa,Hombre,UCAYALI,Selva,Secano,Venta,Comerciante minorista,Secano
true,2,26,85,65,73,false,false,true,false,false,false,false,Primaria completa,Hombre,AMAZONAS,Selva,Secano,Venta,Comerciante mayorista,Secano
true,1,1.75,89.12,32,52,false,false,false,false,false,false,true,Primaria incompleta,Mujer,AMAZONAS,Selva,Gravedad,Venta,Comerciante mayorista,Gravedad
true,3,2.4,48.67,20,45,false,false,true,false,false,false,false,Primaria incompleta,Mujer,AMAZONAS,Selva,Secano,Autoconsumo,Comerciante mayorista,Secano
true,2,4.5,72.15,20,43,false,false,true,false,false,false,false,Primaria incompleta,Hombre,AMAZONAS,Selva,Secano,Venta,Acopiador,Secano
true,4,0.91,0,31,56,false,false,false,false,false,false,false,Secundaria completa,Hombre,ANCASH,Sierra,Secano,Autoconsumo,Sin ventas,Secano
true,5,2.49,94.12,8,38,false,false,true,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,2,11.1,0,1,54,false,false,true,false,false,false,true,Secundaria completa,Hombre,AREQUIPA,Costa,Goteo,Otro,Sin ventas,Goteo
true,2,6.5,100,10,48,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,AREQUIPA,Costa,Goteo,Venta,Acopiador,Goteo
false,2,0.18,14.58,30,69,false,false,false,false,false,false,false,Primaria incompleta,Hombre,AREQUIPA,Sierra,Otro,Autoconsumo,Consumidor final,Otro
true,2,2.75,100,20,54,false,false,true,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Aspersion,Venta,Comerciante mayorista,Aspersion
true,1,3.1,100,5,39,false,false,true,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,2,1.15,74.07,33,46,false,false,true,false,false,false,false,Sin nivel,Mujer,AYACUCHO,Selva,Secano,Venta,Acopiador,Secano
true,5,1.11,66.67,5,26,false,false,false,false,false,true,false,Secundaria incompleta,Hombre,AYACUCHO,Sierra,Aspersion,Venta,Comerciante minorista,Aspersion
true,6,5.47,85.16,23,45,false,false,true,false,false,false,false,Primaria incompleta,Mujer,AYACUCHO,Sierra,Gravedad,Venta,Acopiador,Gravedad
false,5,3.7,92.13,10,27,false,false,true,false,false,false,false,Primaria incompleta,Mujer,AYACUCHO,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad
true,6,52.9,100,20,46,false,false,true,false,false,false,false,Secundaria completa,Mujer,AYACUCHO,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,6,2.25,11.43,30,49,false,false,true,false,false,false,false,Primaria incompleta,Mujer,AYACUCHO,Sierra,Gravedad,Autoconsumo,Acopiador,Gravedad
true,5,11.5,100,40,59,false,true,false,false,true,false,false,Primaria completa,Hombre,CAJAMARCA,Selva,Secano,Venta,Asociación/Cooperativa,Secano
true,3,4,93.4,20,58,false,false,true,false,false,false,false,Secundaria completa,Hombre,CAJAMARCA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,2,9,0,34,52,false,false,false,false,false,false,true,Primaria completa,Hombre,CAJAMARCA,Sierra,Aspersion,Autoconsumo,Sin ventas,Aspersion
true,1,1.5,0,14,31,false,true,false,false,false,false,false,Superior universitaria completa,Hombre,CAJAMARCA,Sierra,Secano,Autoconsumo,Sin ventas,Secano
true,1,7.8,100,21,68,false,false,false,false,false,false,true,Secundaria incompleta,Hombre,HUANUCO,Selva,Secano,Venta,Comerciante minorista,Secano
true,4,3.25,0,40,68,false,false,false,false,false,false,false,Primaria completa,Hombre,HUANUCO,Sierra,Secano,Autoconsumo,Sin ventas,Secano
true,3,21.13,100,30,60,false,false,false,false,false,false,true,Secundaria incompleta,Hombre,ICA,Costa,Goteo,Venta,Empresa/Agroindustria,Goteo
true,2,3.5,0,4,34,false,false,true,true,false,false,false,Secundaria incompleta,Hombre,ICA,Costa,Gravedad,Otro,Sin ventas,Gravedad
true,3,6.69,99.07,30,53,false,false,true,true,false,false,false,Secundaria completa,Hombre,ICA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,1,3,72.5,25,48,false,false,true,false,false,false,false,Secundaria completa,Mujer,ICA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,2,40.75,98.51,12,37,false,false,true,false,false,false,false,Secundaria completa,Hombre,JUNIN,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,4,2.07,98.65,18,40,false,false,true,false,false,false,false,Secundaria completa,Mujer,JUNIN,Sierra,Aspersion,Venta,Acopiador,Aspersion
true,6,2.65,94.44,25,48,false,false,true,false,false,false,true,Superior no universitaria completa,Hombre,JUNIN,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad
true,3,0.64,0,20,62,false,false,true,false,false,false,false,Superior universitaria completa,Hombre,JUNIN,Sierra,Gravedad,Otro,Sin ventas,Gravedad
true,2,6.5,98.95,33,59,false,false,true,false,false,false,false,Secundaria completa,Hombre,JUNIN,Sierra,No especificado,Venta,Comerciante mayorista,No especificado
true,2,8,92.75,8,37,false,false,true,false,false,false,false,Primaria incompleta,Hombre,JUNIN,Selva,Secano,Venta,Acopiador,Secano
true,1,5.22,80.65,40,59,false,false,true,false,false,false,false,Primaria completa,Hombre,LA LIBERTAD,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,1,2.8,100,12,51,false,false,true,true,false,false,false,Primaria completa,Mujer,LAMBAYEQUE,Costa,Gravedad,Venta,Empresa/Agroindustria,Gravedad
true,4,9.2,100,18,47,false,false,true,false,false,false,false,Primaria completa,Hombre,LIMA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,2,0.74,100,15,59,false,false,true,false,false,false,true,Secundaria completa,Hombre,LIMA,Costa,Goteo,Venta,Comerciante minorista,Goteo
true,1,2,94.52,20,40,false,false,true,false,false,false,false,Primaria completa,Hombre,LIMA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
