obtuvo_credito,numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str
true,1,3.13,93.02,21,66,false,false,true,false,false,false,false,Primaria completa,Hombre,PIURA,Costa,No especificado,Venta,Acopiador,No especificado
true,6,2.8,0,8,30,false,false,true,false,false,false,false,Superior no universitaria incompleta,Hombre,PUNO,Sierra,Secano,Otro,Sin ventas,Secano
true,6,1.16,0,35,68,false,false,true,false,false,false,false,Primaria completa,Hombre,PUNO,Sierra,Secano,Otro,Sin ventas,Secano
true,1,10,100,35,54,false,false,false,false,false,false,false,Primaria completa,Hombre,SAN MARTIN,Selva,Secano,Venta,Comerciante mayorista,Secano
true,1,20,9.91,20,44,false,false,true,false,false,false,false,Primaria completa,Hombre,SAN MARTIN,Selva,Secano,Autoconsumo,Empresa/Agroindustria,Secano
true,2,2.13,100,20,42,false,false,true,false,false,false,false,Secundaria completa,Hombre,TACNA,Sierra,Gravedad,Venta,Consumidor final,Gravedad
false,1,2,99.94,16,57,false,true,false,false,false,false,false,Primaria incompleta,Mujer,TACNA,Costa,Goteo,Venta,Acopiador,Goteo
false,3,4.9,98.61,16,67,false,false,true,false,false,false,false,Secundaria incompleta,Mujer,TACNA,Costa,Goteo,Venta,Comerciante mayorista,Goteo
true,1,10,81.79,19,59,false,false,true,false,false,false,false,Primaria completa,Hombre,TACNA,Costa,Goteo,Venta,Acopiador,Goteo
true,1,11.5,100,5,43,false,false,true,false,false,false,false,Secundaria completa,Hombre,TUMBES,Costa,Gravedad,Venta,Acopiador,Gravedad
true,1,0.53,99.59,47,68,false,false,false,false,false,false,false,Primaria incompleta,Hombre,TUMBES,Costa,Gravedad,Venta,Acopiador,Gravedad
true,5,21.04,99.99,20,46,false,false,true,false,false,false,false,Superior universitaria completa,Hombre,TUMBES,Costa,Gravedad,Venta,Acopiador,Gravedad
true,2,25.7,100,13,56,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,UCAYALI,Selva,Secano,Venta,Acopiador,Secano
